Sem.,Día,Fecha,Hora,Local,xG,Marcador,xG,Visitante,Asistencia,Sedes,Árbitro,Informe del partido,Notas
36,Jue,2022-05-12,19:00,Real Sociedad,2.8,3–0,1.1,Cádiz,29014,Estadio Municipal de Anoeta,Juan Martínez,Informe del partido,
36,Jue,2022-05-12,20:00,Rayo Vallecano,2.0,1–5,2.4,Villarreal,7945,Estadio del Rayo Vallecano,Isidro Díaz de Mera,Informe del partido,
36,Jue,2022-05-12,21:30,Real Madrid,3.7,6–0,1.2,Levante,38421,Estadio Santiago Bernabéu,Adrián Cordero,Informe del partido,
,,,,,,,,,,,,,
37,Sáb,2022-05-14,18:30,Espanyol,0.7,1–1,1.7,Valencia,14990,RCDE Stadium,Alejandro Muñíz,Informe del partido,
37,Dom,2022-05-15,19:30,Levante,2.5,3–1,0.7,Alavés,12438,Estadio Ciudad de Valencia,Guillermo Cuadra,Informe del partido,
37,Dom,2022-05-15,19:30,Villarreal,1.2,1–2,2.6,Real Sociedad,16689,Estadio de la Cerámica,Pablo González,Informe del partido,
37,Dom,2022-05-15,19:30,Getafe,0.4,0–0,0.2,Barcelona,13072,Coliseum Alfonso Pérez,Jesús Gil,Informe del partido,
37,Dom,2022-05-15,19:30,Athletic Club,1.3,2–0,0.9,Osasuna,37869,San Mamés,Jorge Figueroa,Informe del partido,
37,Dom,2022-05-15,19:30,Atlético Madrid,1.2,1–1,0.7,Sevilla,58138,Estadio Wanda Metropolitano,José Sánchez,Informe del partido,
37,Dom,2022-05-15,19:30,Betis,1.9,2–0,1.3,Granada,45016,Estadio Benito Villamarín,Ricardo de Burgos,Informe del partido,
37,Dom,2022-05-15,19:30,Celta Vigo,2.1,1–0,0.6,Elche,10773,Estadio de Balaídos,Mario Melero,Informe del partido,
37,Dom,2022-05-15,19:30,Mallorca,0.8,2–1,1.3,Rayo Vallecano,17930,Iberostar Estadi,José Luis Munuera,Informe del partido,
37,Dom,2022-05-15,19:30,Cádiz,2.9,1–1,1.6,Real Madrid,19643,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Informe del partido,
,,,,,,,,,,,,,
38,Vie,2022-05-20,21:00,Real Madrid,1.5,0–0,1.0,Betis,52232,Estadio Santiago Bernabéu,Santiago Jaime,Informe del partido,
38,Vie,2022-05-20,21:00,Rayo Vallecano,2.7,2–4,2.7,Levante,8446,Estadio del Rayo Vallecano,Mario Melero,Informe del partido,
38,Sáb,2022-05-21,17:30,Valencia,1.6,2–0,1.0,Celta Vigo,16189,Estadio de Mestalla,Adrián Cordero,Informe del partido,
38,Dom,2022-05-22,17:30,Elche,3.0,3–1,1.3,Getafe,17336,Estadio Manuel Martínez Valero,Guillermo Cuadra,Informe del partido,
38,Dom,2022-05-22,20:00,Osasuna,0.8,0–2,1.4,Mallorca,18717,Estadio El Sadar,César Soto,Informe del partido,
38,Dom,2022-05-22,20:00,Granada,2.0,0–0,0.5,Espanyol,17951,Estadio Nuevo Los Cármenes,Alejandro Hernández,Informe del partido,
38,Dom,2022-05-22,20:00,Alavés,0.6,0–1,1.8,Cádiz,11138,Estadio de Mendizorroza,José Sánchez,Informe del partido,
38,Dom,2022-05-22,22:00,Barcelona,0.9,0–2,0.7,Villarreal,54850,Camp Nou,José Luis Munuera,Informe del partido,
38,Dom,2022-05-22,22:00,Sevilla,1.4,1–0,1.0,Athletic Club,31305,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Informe del partido,
38,Dom,2022-05-22,22:00,Real Sociedad,2.5,1–2,0.8,Atlético Madrid,23586,Estadio Municipal de Anoeta,Jesús Gil,Informe del partido,
