Sem.,Día,Fecha,Hora,Local,xG,Marcador,xG,Visitante,Asistencia,Sedes,Árbitro,Informe del partido,Notas
10,Dom,2021-10-24,14:00,Sevilla,1.6,5–3,2.1,Levante,30601,Estadio Ramón Sánchez Pizjuán,Valentín Pizarro,Informe del partido,
10,Dom,2021-10-24,16:15,Barcelona,1.8,1–2,1.7,Real Madrid,86422,Camp Nou,José Sánchez,Informe del partido,
10,Dom,2021-10-24,18:30,Betis,1.6,3–2,1.2,Rayo Vallecano,45362,Estadio Benito Villamarín,Ricardo de Burgos,Informe del partido,
10,Dom,2021-10-24,21:00,Atlético Madrid,1.9,2–2,0.8,Real Sociedad,50032,Estadio Wanda Metropolitano,José Luis Munuera,Informe del partido,
10,Lun,2021-10-25,21:00,Getafe,0.5,0–3,1.9,Celta Vigo,7630,Coliseum Alfonso Pérez,Juan Martínez,Informe del partido,
,,,,,,,,,,,,,
11,Mar,2021-10-26,19:00,Alavés,2.0,1–0,0.4,Elche,10206,Estadio de Mendizorroza,Jesús Gil,Informe del partido,
11,Mar,2021-10-26,21:00,Espanyol,1.3,1–1,3.6,Athletic Club,16196,RCDE Stadium,Miguel Ángel Ortiz Arias,Informe del partido,
11,Mar,2021-10-26,21:30,Villarreal,1.6,3–3,1.1,Cádiz,12190,Estadio de la Cerámica,Alejandro Hernández,Informe del partido,
11,Mié,2021-10-27,19:00,Rayo Vallecano,1.4,1–0,2.8,Barcelona,9340,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Informe del partido,
11,Mié,2021-10-27,19:00,Mallorca,1.9,1–1,1.4,Sevilla,15125,Iberostar Estadi,Santiago Jaime,Informe del partido,
11,Mié,2021-10-27,20:00,Betis,1.9,4–1,2.0,Valencia,43123,Estadio Benito Villamarín,Isidro Díaz de Mera,Informe del partido,
11,Mié,2021-10-27,21:30,Real Madrid,0.9,0–0,0.6,Osasuna,35691,Estadio Santiago Bernabéu,César Soto,Informe del partido,
11,Jue,2021-10-28,19:00,Celta Vigo,1.7,0–2,1.9,Real Sociedad,8726,Estadio de Balaídos,Mario Melero,Informe del partido,
11,Jue,2021-10-28,20:00,Granada,2.1,1–1,0.3,Getafe,13651,Estadio Nuevo Los Cármenes,Adrián Cordero,Informe del partido,
11,Jue,2021-10-28,21:30,Levante,1.8,2–2,1.0,Atlético Madrid,16298,Estadio Ciudad de Valencia,Pablo González,Informe del partido,
,,,,,,,,,,,,,
12,Sáb,2021-10-30,14:00,Elche,0.9,1–2,1.3,Real Madrid,23010,Estadio Manuel Martínez Valero,Ricardo de Burgos,Informe del partido,
12,Sáb,2021-10-30,16:15,Sevilla,2.5,2–0,0.8,Osasuna,20335,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Informe del partido,
12,Sáb,2021-10-30,18:30,Valencia,1.2,2–0,1.1,Villarreal,31487,Estadio de Mestalla,José Luis Munuera,Informe del partido,
12,Sáb,2021-10-30,21:00,Barcelona,1.4,1–1,0.8,Alavés,37278,Camp Nou,Jorge Figueroa,Informe del partido,
12,Dom,2021-10-31,14:00,Cádiz,2.0,1–1,1.2,Mallorca,11790,Estadio Nuevo Mirandilla,Valentín Pizarro,Informe del partido,
12,Dom,2021-10-31,16:15,Atlético Madrid,2.4,3–0,0.6,Betis,56838,Estadio Wanda Metropolitano,Alberola Rojas,Informe del partido,
12,Dom,2021-10-31,18:30,Getafe,0.9,2–1,0.8,Espanyol,4721,Coliseum Alfonso Pérez,Alejandro Muñíz,Informe del partido,
12,Dom,2021-10-31,21:00,Real Sociedad,1.2,1–1,1.0,Athletic Club,37066,Estadio Municipal de Anoeta,Juan Martínez,Informe del partido,
12,Lun,2021-11-01,18:30,Rayo Vallecano,0.6,0–0,0.5,Celta Vigo,9580,Estadio del Rayo Vallecano,Adrián Cordero,Informe del partido,
12,Lun,2021-11-01,21:00,Levante,1.1,0–3,1.1,Granada,14512,Estadio Ciudad de Valencia,José Sánchez,Informe del partido,
,,,,,,,,,,,,,
13,Vie,2021-11-05,21:00,Athletic Club,0.8,0–1,0.7,Cádiz,37581,San Mamés,Santiago Jaime,Informe del partido,
13,Sáb,2021-11-06,14:00,Espanyol,1.6,2–0,2.3,Granada,19050,RCDE Stadium,Isidro Díaz de Mera,Informe del partido,
13,Sáb,2021-11-06,16:15,Celta Vigo,1.5,3–3,1.1,Barcelona,13146,Estadio de Balaídos,Alejandro Hernández,Informe del partido,
13,Sáb,2021-11-06,18:30,Alavés,1.5,2–1,0.8,Levante,12176,Estadio de Mendizorroza,Adrián Cordero,Informe del partido,
13,Sáb,2021-11-06,21:00,Real Madrid,2.1,2–1,1.6,Rayo Vallecano,43283,Estadio Santiago Bernabéu,Pablo González,Informe del partido,
13,Dom,2021-11-07,14:00,Villarreal,1.2,1–0,0.3,Getafe,13504,Estadio de la Cerámica,Jesús Gil,Informe del partido,
13,Dom,2021-11-07,16:15,Valencia,1.1,3–3,2.2,Atlético Madrid,37472,Estadio de Mestalla,César Soto,Informe del partido,
13,Dom,2021-11-07,18:30,Osasuna,0.6,0–2,1.4,Real Sociedad,21741,Estadio El Sadar,Miguel Ángel Ortiz Arias,Informe del partido,
13,Dom,2021-11-07,18:30,Mallorca,2.3,2–2,0.7,Elche,12933,Iberostar Estadi,Mario Melero,Informe del partido,
13,Dom,2021-11-07,21:00,Betis,0.5,0–2,1.7,Sevilla,50534,Estadio Benito Villamarín,Antonio Matéu Lahoz,Informe del partido,
,,,,,,,,,,,,,
14,Vie,2021-11-19,21:00,Levante,0.8,0–0,0.7,Athletic Club,15230,Estadio Ciudad de Valencia,José Luis Munuera,Informe del partido,
14,Sáb,2021-11-20,14:00,Celta Vigo,1.0,1–1,2.8,Villarreal,10086,Estadio de Balaídos,Alberola Rojas,Informe del partido,
14,Sáb,2021-11-20,16:15,Sevilla,1.6,2–2,1.3,Alavés,25208,Estadio Ramón Sánchez Pizjuán,Alejandro Muñíz,Informe del partido,
14,Sáb,2021-11-20,18:30,Atlético Madrid,1.4,1–0,0.6,Osasuna,53261,Estadio Wanda Metropolitano,José Sánchez,Informe del partido,
14,Sáb,2021-11-20,21:00,Barcelona,1.7,1–0,1.3,Espanyol,74418,Camp Nou,Carlos del Cerro,Informe del partido,
14,Dom,2021-11-21,14:00,Getafe,1.5,4–0,0.5,Cádiz,8825,Coliseum Alfonso Pérez,Ricardo de Burgos,Informe del partido,
14,Dom,2021-11-21,16:15,Granada,0.7,1–4,3.6,Real Madrid,17460,Estadio Nuevo Los Cármenes,Juan Martínez,Informe del partido,
